play_name,character,act,scene,sentence,text,Unnamed: 6,Unnamed: 7,Unnamed: 8,tokens
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,"Yet level at the end of every art,",,,,"['Yet', 'level', 'end', 'every']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,And live and die in Aristotle?s works.,,,,"['live', 'die', 'Aristotle', '\x99s', 'works']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Sweet Analytics, ?tis thou hast ravish?d me!",,,,"['Sweet', 'Analytics', '\x99tis', 'ravish', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,Bene disserere est finis logices.,,,,"['Bene', 'disserere', 'est', 'finis', 'logices']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,"Is, to dispute well, logic?s chiefest end?",,,,"['dispute', 'well', 'logic', '\x99s', 'chiefest', 'end']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,Affords this art no greater miracle?,,,,"['Affords', 'greater', 'miracle']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,Then read no more; thou hast attain?d that end:,,,,"['read', 'attain', '\x99d', 'end']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,A greater subject fitteth Faustus??wit:,,,,"['greater', 'subject', 'fitteth', 'Faustus', 'wit']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,"Bid Economy farewell, and Galen come,",,,,"['Bid', 'Economy', 'farewell', 'Galen', 'come']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"Seeing, Ubi desinit philosophus, ibi incipit medicus:",,,,"['Seeing', 'Ubi', 'desinit', 'philosophus', 'ibi', 'incipit', 'medicus']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,"Be a physician, Faustus; heap up gold,",,,,"['physician', 'Faustus', 'heap', 'gold']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,And be eterniz?d for some wondrous cure:,,,,"['eterniz', '\x99d', 'wondrous', 'cure']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"Summum bonum medicinae sanitas,",,,,"['Summum', 'bonum', 'medicinae', 'sanitas']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,The end of physic is our body?s health.,,,,"['end', 'physic', 'body', '\x99s', 'health']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,18,"Why, Faustus, hast thou not attain?d that end?",,,,"['Faustus', 'attain', '\x99d', 'end']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,19,Is not thy common talk found aphorisms?,,,,"['common', 'talk', 'found', 'aphorisms']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,20,"Are not thy bills hung up as monuments,",,,,"['bills', 'hung', 'monuments']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,21,"Whereby whole cities have escap?d the plague,",,,,"['Whereby', 'whole', 'cities', 'escap', '\x99d', 'plague']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,22,And thousand desperate maladies been eas?d?,,,,"['thousand', 'desperate', 'maladies', 'eas', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,23,"Yet art thou still but Faustus, and a man.",,,,"['Yet', 'still', 'Faustus', 'man']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,24,"Couldst thou make men to live eternally,",,,,"['make', 'men', 'live', 'eternally']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,25,"Or, being dead, raise them to life again,",,,,"['dead', 'raise', 'life']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,26,Then this profession were to be esteem?d.,,,,"['profession', 'esteem', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,27,"Physic, farewell!  Where is Justinian?",,,,"['Physic', 'farewell', 'Justinian']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,28,"Si una eademque res legatur duobus, alter rem,",,,,"['Si', 'una', 'eademque', 'res', 'legatur', 'duobus', 'alter', 'rem']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,29,"alter valorem rei,c.",,,,"['alter', 'valorem', 'rei', 'c']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,30,A pretty case of paltry legacies!,,,,"['pretty', 'case', 'paltry', 'legacies']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,31,"Exhoereditare filium non potest pater, nisi,",,,,"['Exhoereditare', 'filium', 'non', 'potest', 'pater', 'nisi']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,32,"Such is the subject of the institute,",,,,"['subject', 'institute']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,33,And universal body of the law:,,,,"['universal', 'body', 'law']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,34,"This study fits a mercenary drudge,",,,,"['study', 'fits', 'mercenary', 'drudge']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,35,Who aims at nothing but external trash;,,,,"['aims', 'nothing', 'external', 'trash']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,36,Too servile and illiberal for me.,,,,"['servile', 'illiberal']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,37,"When all is done, divinity is best:",,,,"['done', 'divinity', 'best']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,38,"Jerome?s Bible, Faustus; view it well.",,,,"['Jerome', '\x99s', 'Bible', 'Faustus', 'view', 'well']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,39,Stipendium peccati mors est.,,,,"['Stipendium', 'peccati', 'mors', 'est']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,40,The reward of sin is death:  that?s hard.,,,,"['reward', 'sin', 'death', '\x99s', 'hard']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,41,"Si peccasse negamus, fallimur, et nulla est in nobis veritas;",,,,"['Si', 'peccasse', 'negamus', 'fallimur', 'et', 'nulla', 'est', 'nobis', 'veritas']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,42,"If we say that we have no sin, we deceive ourselves, and",,,,"['say', 'sin', 'deceive']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,43,"there?s no truth in us.  Why, then, belike we must sin, and so",,,,"['\x99s', 'truth', 'belike', 'must', 'sin']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,44,consequently die:,,,,"['consequently', 'die']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,45,"Ay, we must die an everlasting death.",,,,"['Ay', 'must', 'die', 'everlasting', 'death']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,46,"What doctrine call you this, Che sera, sera,",,,,"['doctrine', 'call', 'Che', 'sera', 'sera']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,47,"What will be, shall be?  Divinity, adieu!",,,,"['shall', 'Divinity', 'adieu']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,48,"These metaphysics of magicians,",,,,"['metaphysics', 'magicians']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,49,And necromantic books are heavenly;,,,,"['necromantic', 'books', 'heavenly']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,50,"Lines, circles, scenes, letters, and characters;",,,,"['Lines', 'circles', 'scenes', 'letters', 'characters']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,51,"Ay, these are those that Faustus most desires.",,,,"['Ay', 'Faustus', 'desires']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,52,"O, what a world of profit and delight,",,,,"['world', 'profit', 'delight']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,53,"Of power, of honour, of omnipotence,",,,,"['power', 'honour', 'omnipotence']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,54,Is promis?d to the studious artizan!,,,,"['promis', '\x99d', 'studious', 'artizan']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,55,All things that move between the quiet poles,,,,"['things', 'move', 'quiet', 'poles']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,56,Shall be at my command:  emperors and kings,,,,"['Shall', 'command', 'emperors', 'kings']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,57,"Are but obeyed in their several provinces,",,,,"['obeyed', 'several', 'provinces']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,58,"Nor can they raise the wind, or rend the clouds;",,,,"['raise', 'wind', 'rend', 'clouds']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,59,"But his dominion that exceeds in this,",,,,"['dominion', 'exceeds']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,60,Stretcheth as far as doth the mind of man;,,,,"['Stretcheth', 'far', 'doth', 'mind', 'man']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,61,A sound magician is a mighty god:,,,,"['sound', 'magician', 'mighty', 'god']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,62,"Here, Faustus, tire thy brains to gain a deity.",,,,"['Faustus', 'tire', 'brains', 'gain', 'deity']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,63,"Wagner, commend me to my dearest friends,",,,,"['Wagner', 'commend', 'dearest', 'friends']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,64,The German Valdes and Cornelius;,,,,"['German', 'Valdes', 'Cornelius']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,65,Request them earnestly to visit me.,,,,"['Request', 'earnestly', 'visit']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,none,none,1,"I will, sir.",,,,['sir']
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,Their conference will be a greater help to me,,,,"['conference', 'greater', 'help']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Than all my labours, plod I ne?er so fast.",,,,"['labours', 'plod', 'ne', '\x99er', 'fast']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,1,"O, Faustus, lay that damned book aside,",,,,"['Faustus', 'lay', 'damned', 'book', 'aside']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,2,"And gaze not on it, lest it tempt thy soul,",,,,"['gaze', 'lest', 'tempt', 'soul']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,3,And heap God?s heavy wrath upon thy head!,,,,"['heap', 'God', '\x99s', 'heavy', 'wrath', 'upon', 'head']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,none,none,4,"Read, read the Scriptures:?that is blasphemy.",,,,"['Read', 'read', 'Scriptures', '\x94that', 'blasphemy']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,1,"Go forward, Faustus, in that famous art",,,,"['Go', 'forward', 'Faustus', 'famous']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,2,Wherein all Nature?s treasure is contain?d:,,,,"['Wherein', 'Nature', '\x99s', 'treasure', 'contain', '\x99d']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,3,"Be thou on earth as Jove is in the sky,",,,,"['earth', 'Jove', 'sky']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,none,none,4,Lord and commander of these elements.,,,,"['Lord', 'commander', 'elements']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,1,How am I glutted with conceit of this!,,,,"['glutted', 'conceit']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,2,"Shall I make spirits fetch me what I please,",,,,"['Shall', 'make', 'spirits', 'fetch', 'please']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,3,"Resolve me of all ambiguities,",,,,"['Resolve', 'ambiguities']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,4,Perform what desperate enterprise I will?,,,,"['Perform', 'desperate', 'enterprise']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,5,"I?ll have them fly to India for gold,",,,,"['\x99ll', 'fly', 'India', 'gold']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,6,"Ransack the ocean for orient pearl,",,,,"['Ransack', 'ocean', 'orient', 'pearl']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,7,And search all corners of the new-found world,,,,"['search', 'corners', 'new-found', 'world']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,8,For pleasant fruits and princely delicates;,,,,"['pleasant', 'fruits', 'princely', 'delicates']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,9,"I?ll have them read me strange philosophy,",,,,"['\x99ll', 'read', 'strange', 'philosophy']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,10,And tell the secrets of all foreign kings;,,,,"['tell', 'secrets', 'foreign', 'kings']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,11,"I?ll have them wall all Germany with brass,",,,,"['\x99ll', 'wall', 'Germany', 'brass']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,12,And make swift Rhine circle fair Wertenberg;,,,,"['make', 'swift', 'Rhine', 'circle', 'fair', 'Wertenberg']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,13,"I?ll have them fill the public schools with silk,",,,,"['\x99ll', 'fill', 'public', 'schools', 'silk']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,14,Wherewith the students shall be bravely clad;,,,,"['Wherewith', 'students', 'shall', 'bravely', 'clad']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,15,"I?ll levy soldiers with the coin they bring,",,,,"['\x99ll', 'levy', 'soldiers', 'coin', 'bring']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,16,"And chase the Prince of Parma from our land,",,,,"['chase', 'Prince', 'Parma', 'land']"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,none,none,17,And reign sole king of all the provinces;,,,,"['reign', 'sole', 'king', 'provinces']"
