play_name,character,act,scene,sentence,text
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,8,"Is, to dispute well, logic’s chiefest end?"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,9,Affords this art no greater miracle?
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,10,Then read no more; thou hast attain’d that end:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,11,A greater subject fitteth Faustus’ wit:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,12,"Bid Economy farewell, and Galen come,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,13,"Seeing, Ubi desinit philosophus, ibi incipit medicus:"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,14,"Be a physician, Faustus; heap up gold,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,15,And be eterniz’d for some wondrous cure:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,16,"Summum bonum medicinae sanitas,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,17,The end of physic is our body’s health.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,18,"Why, Faustus, hast thou not attain’d that end?"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,19,Is not thy common talk found aphorisms?
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,20,"Are not thy bills hung up as monuments,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,21,"Whereby whole cities have escap’d the plague,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,22,And thousand desperate maladies been eas’d?
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,23,"Yet art thou still but Faustus, and a man."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,24,"Couldst thou make men to live eternally,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,25,"Or, being dead, raise them to life again,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,26,Then this profession were to be esteem’d.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,27,"Physic, farewell!  Where is Justinian?"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,28,"Si una eademque res legatur duobus, alter rem,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,29,"alter valorem rei,c."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,30,A pretty case of paltry legacies!
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,31,"Exhoereditare filium non potest pater, nisi,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,32,"Such is the subject of the institute,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,33,And universal body of the law:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,34,"This study fits a mercenary drudge,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,35,Who aims at nothing but external trash;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,36,Too servile and illiberal for me.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,37,"When all is done, divinity is best:"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,38,"Jerome’s Bible, Faustus; view it well."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,39,Stipendium peccati mors est.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,40,The reward of sin is death:  that’s hard.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,41,"Si peccasse negamus, fallimur, et nulla est in nobis veritas;"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,42,"If we say that we have no sin, we deceive ourselves, and"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,43,"there’s no truth in us.  Why, then, belike we must sin, and so"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,44,consequently die:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,45,"Ay, we must die an everlasting death."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,46,"What doctrine call you this, Che sera, sera,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,47,"What will be, shall be?  Divinity, adieu!"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,48,"These metaphysics of magicians,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,49,And necromantic books are heavenly;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,50,"Lines, circles, scenes, letters, and characters;"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,51,"Ay, these are those that Faustus most desires."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,52,"O, what a world of profit and delight,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,53,"Of power, of honour, of omnipotence,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,54,Is promis’d to the studious artizan!
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,55,All things that move between the quiet poles
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,56,Shall be at my command:  emperors and kings
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,57,"Are but obeyed in their several provinces,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,58,"Nor can they raise the wind, or rend the clouds;"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,59,"But his dominion that exceeds in this,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,60,Stretcheth as far as doth the mind of man;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,61,A sound magician is a mighty god:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,62,"Here, Faustus, tire thy brains to gain a deity."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,63,"Wagner, commend me to my dearest friends,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,64,The German Valdes and Cornelius;
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,65,Request them earnestly to visit me.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,WAGNER,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,"I will, sir."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,Their conference will be a greater help to me
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,"Than all my labours, plod I ne’er so fast."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,"O, Faustus, lay that damned book aside,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,"And gaze not on it, lest it tempt thy soul,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,3,And heap God’s heavy wrath upon thy head!
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,GOOD ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,4,"Read, read the Scriptures:—that is blasphemy."
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,"Go forward, Faustus, in that famous art"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,Wherein all Nature’s treasure is contain’d:
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,3,"Be thou on earth as Jove is in the sky,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,EVIL ANGEL,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,4,Lord and commander of these elements.
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,1,How am I glutted with conceit of this!
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,2,"Shall I make spirits fetch me what I please,"
THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,FAUSTUS,THE TRAGICAL HISTORY OF DOCTOR FAUSTUS,none,3,"Resolve me of all ambiguities,"
