play_name,character,act,scene,sentence,text,tokens
The Jew of Malta,MERCHANT,ACT I.,none,2,Riding in Malta-road; and all the merchants,"['Riding', 'Malta-road', 'merchants']"
The Jew of Malta,MERCHANT,ACT I.,none,3,"With other merchandise are safe arriv'd,","['merchandise', 'safe', 'arriv']"
The Jew of Malta,MERCHANT,ACT I.,none,4,And have sent me to know whether yourself,"['sent', 'know', 'whether']"
The Jew of Malta,MERCHANT,ACT I.,none,5,Will come and custom them.,"['come', 'custom']"
The Jew of Malta,BARABAS,ACT I.,none,1,"The ships are safe thou say'st, and richly fraught?","['ships', 'safe', ""say'st"", 'richly', 'fraught']"
The Jew of Malta,MERCHANT,ACT I.,none,1,They are.,[]
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, then, go bid them come ashore,","['go', 'bid', 'come', 'ashore']"
The Jew of Malta,BARABAS,ACT I.,none,2,And bring with them their bills of entry:,"['bring', 'bills', 'entry']"
The Jew of Malta,BARABAS,ACT I.,none,3,I hope our credit in the custom-house,"['hope', 'credit', 'custom-house']"
The Jew of Malta,BARABAS,ACT I.,none,4,Will serve as well as I were present there.,"['serve', 'well', 'present']"
The Jew of Malta,BARABAS,ACT I.,none,5,"Go send 'em threescore camels, thirty mules,","['Go', 'send', ""'em"", 'threescore', 'camels', 'thirty', 'mules']"
The Jew of Malta,BARABAS,ACT I.,none,6,"And twenty waggons, to bring up the ware.","['twenty', 'waggons', 'bring', 'ware']"
The Jew of Malta,BARABAS,ACT I.,none,7,"But art thou master in a ship of mine,","['master', 'ship']"
The Jew of Malta,BARABAS,ACT I.,none,8,And is thy credit not enough for that?,"['credit', 'enough']"
The Jew of Malta,MERCHANT,ACT I.,none,1,The very custom barely comes to more,"['custom', 'barely', 'comes']"
The Jew of Malta,MERCHANT,ACT I.,none,2,"Than many merchants of the town are worth,","['many', 'merchants', 'town', 'worth']"
The Jew of Malta,MERCHANT,ACT I.,none,3,"And therefore far exceeds my credit, sir.","['therefore', 'far', 'exceeds', 'credit', 'sir']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Go tell 'em the Jew of Malta sent thee, man:","['Go', 'tell', ""'em"", 'Jew', 'Malta', 'sent', 'man']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Tush, who amongst 'em knows not Barabas?","['Tush', 'amongst', ""'em"", 'knows', 'Barabas']"
The Jew of Malta,MERCHANT,ACT I.,none,1,I go.,['go']
The Jew of Malta,BARABAS,ACT I.,none,1,"So, then, there's somewhat come.","['somewhat', 'come']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Sirrah, which of my ships art thou master of?","['Sirrah', 'ships', 'master']"
The Jew of Malta,MERCHANT,ACT I.,none,1,"Of the Speranza, sir.","['Speranza', 'sir']"
The Jew of Malta,BARABAS,ACT I.,none,1,And saw'st thou not,"[""saw'st""]"
The Jew of Malta,BARABAS,ACT I.,none,2,Mine argosy at Alexandria?,"['argosy', 'Alexandria']"
The Jew of Malta,BARABAS,ACT I.,none,3,"Thou couldst not come from Egypt, or by Caire,","['come', 'Egypt', 'Caire']"
The Jew of Malta,BARABAS,ACT I.,none,4,"But at the entry there into the sea,","['entry', 'sea']"
The Jew of Malta,BARABAS,ACT I.,none,5,"Where Nilus pays his tribute to the main,","['Nilus', 'pays', 'tribute', 'main']"
The Jew of Malta,BARABAS,ACT I.,none,6,Thou needs must sail by Alexandria.,"['needs', 'must', 'sail', 'Alexandria']"
The Jew of Malta,MERCHANT,ACT I.,none,1,"I neither saw them, nor inquir'd of them:","['neither', 'saw', 'inquir']"
The Jew of Malta,MERCHANT,ACT I.,none,2,"But this we heard some of our seamen say,","['heard', 'seamen', 'say']"
The Jew of Malta,MERCHANT,ACT I.,none,3,They wonder'd how you durst with so much wealth,"['wonder', 'durst', 'much', 'wealth']"
The Jew of Malta,MERCHANT,ACT I.,none,4,"Trust such a crazed vessel, and so far.","['Trust', 'crazed', 'vessel', 'far']"
The Jew of Malta,BARABAS,ACT I.,none,1,"Tush, they are wise!  I know her and her strength.","['Tush', 'wise', 'know', 'strength']"
The Jew of Malta,BARABAS,ACT I.,none,2,"But go, go thou thy ways, discharge thy ship,","['go', 'go', 'ways', 'discharge', 'ship']"
The Jew of Malta,BARABAS,ACT I.,none,3,And bid my factor bring his loading in.,"['bid', 'factor', 'bring', 'loading']"
The Jew of Malta,BARABAS,ACT I.,none,4,And yet I wonder at this argosy.,"['yet', 'wonder', 'argosy']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Thine argosy from Alexandria,","['argosy', 'Alexandria']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,2,"Know, Barabas, doth ride in Malta-road,","['Know', 'Barabas', 'doth', 'ride', 'Malta-road']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,3,"Laden with riches, and exceeding store","['Laden', 'riches', 'exceeding', 'store']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,4,"Of Persian silks, of gold, and orient pearl.","['Persian', 'silks', 'gold', 'orient', 'pearl']"
The Jew of Malta,BARABAS,ACT I.,none,1,How chance you came not with those other ships,"['chance', 'came', 'ships']"
The Jew of Malta,BARABAS,ACT I.,none,2,That sail'd by Egypt?,"['sail', 'Egypt']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Sir, we saw 'em not.","['Sir', 'saw', ""'em""]"
The Jew of Malta,BARABAS,ACT I.,none,1,Belike they coasted round by Candy-shore,"['Belike', 'coasted', 'round', 'Candy-shore']"
The Jew of Malta,BARABAS,ACT I.,none,2,About their oils or other businesses.,"['oils', 'businesses']"
The Jew of Malta,BARABAS,ACT I.,none,3,But 'twas ill done of you to come so far,"[""'t"", 'ill', 'done', 'come', 'far']"
The Jew of Malta,BARABAS,ACT I.,none,4,Without the aid or conduct of their ships.,"['Without', 'aid', 'conduct', 'ships']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Sir, we were wafted by a Spanish fleet,","['Sir', 'wafted', 'Spanish', 'fleet']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,2,"That never left us till within a league,","['never', 'left', 'till', 'within', 'league']"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,3,That had the galleys of the Turk in chase.,"['galleys', 'Turk', 'chase']"
The Jew of Malta,BARABAS,ACT I.,none,1,"O, they were going up to Sicily.","['going', 'Sicily']"
The Jew of Malta,BARABAS,ACT I.,none,2,"Well, go,","['Well', 'go']"
