play_name,character,act,scene,sentence,text
The Jew of Malta,BARABAS,ACT I.,none,5,"Where Nilus pays his tribute to the main,"
The Jew of Malta,BARABAS,ACT I.,none,6,Thou needs must sail by Alexandria.
The Jew of Malta,MERCHANT,ACT I.,none,1,"I neither saw them, nor inquir'd of them:"
The Jew of Malta,MERCHANT,ACT I.,none,2,"But this we heard some of our seamen say,"
The Jew of Malta,MERCHANT,ACT I.,none,3,They wonder'd how you durst with so much wealth
The Jew of Malta,MERCHANT,ACT I.,none,4,"Trust such a crazed vessel, and so far."
The Jew of Malta,BARABAS,ACT I.,none,1,"Tush, they are wise!  I know her and her strength."
The Jew of Malta,BARABAS,ACT I.,none,2,"But go, go thou thy ways, discharge thy ship,"
The Jew of Malta,BARABAS,ACT I.,none,3,And bid my factor bring his loading in.
The Jew of Malta,BARABAS,ACT I.,none,4,And yet I wonder at this argosy.
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Thine argosy from Alexandria,"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,2,"Know, Barabas, doth ride in Malta-road,"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,3,"Laden with riches, and exceeding store"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,4,"Of Persian silks, of gold, and orient pearl."
The Jew of Malta,BARABAS,ACT I.,none,1,How chance you came not with those other ships
The Jew of Malta,BARABAS,ACT I.,none,2,That sail'd by Egypt?
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Sir, we saw 'em not."
The Jew of Malta,BARABAS,ACT I.,none,1,Belike they coasted round by Candy-shore
The Jew of Malta,BARABAS,ACT I.,none,2,About their oils or other businesses.
The Jew of Malta,BARABAS,ACT I.,none,3,But 'twas ill done of you to come so far
The Jew of Malta,BARABAS,ACT I.,none,4,Without the aid or conduct of their ships.
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,"Sir, we were wafted by a Spanish fleet,"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,2,"That never left us till within a league,"
The Jew of Malta,SECOND MERCHANT,ACT I.,none,3,That had the galleys of the Turk in chase.
The Jew of Malta,BARABAS,ACT I.,none,1,"O, they were going up to Sicily."
The Jew of Malta,BARABAS,ACT I.,none,2,"Well, go,"
The Jew of Malta,BARABAS,ACT I.,none,3,"And bid the merchants and my men despatch,"
The Jew of Malta,BARABAS,ACT I.,none,4,"And come ashore, and see the fraught discharg'd."
The Jew of Malta,SECOND MERCHANT,ACT I.,none,1,I go.
The Jew of Malta,BARABAS,ACT I.,none,1,"Thus trolls our fortune in by land and sea,"
The Jew of Malta,BARABAS,ACT I.,none,2,And thus are we on every side enrich'd:
The Jew of Malta,BARABAS,ACT I.,none,3,"These are the blessings promis'd to the Jews,"
The Jew of Malta,BARABAS,ACT I.,none,4,And herein was old Abraham's happiness:
The Jew of Malta,BARABAS,ACT I.,none,5,What more may heaven do for earthly man
The Jew of Malta,BARABAS,ACT I.,none,6,"Than thus to pour out plenty in their laps,"
The Jew of Malta,BARABAS,ACT I.,none,7,"Ripping the bowels of the earth for them,"
The Jew of Malta,BARABAS,ACT I.,none,8,"Making the sea their servants, and the winds"
The Jew of Malta,BARABAS,ACT I.,none,9,To drive their substance with successful blasts?
The Jew of Malta,BARABAS,ACT I.,none,10,Who hateth me but for my happiness?
The Jew of Malta,BARABAS,ACT I.,none,11,Or who is honour'd now but for his wealth?
The Jew of Malta,BARABAS,ACT I.,none,12,"Rather had I, a Jew, be hated thus,"
The Jew of Malta,BARABAS,ACT I.,none,13,Than pitied in a Christian poverty;
The Jew of Malta,BARABAS,ACT I.,none,14,"For I can see no fruits in all their faith,"
The Jew of Malta,BARABAS,ACT I.,none,15,"But malice, falsehood, and excessive pride,"
The Jew of Malta,BARABAS,ACT I.,none,16,Which methinks fits not their profession.
The Jew of Malta,BARABAS,ACT I.,none,17,"Haply some hapless man hath conscience,"
The Jew of Malta,BARABAS,ACT I.,none,18,And for his conscience lives in beggary.
The Jew of Malta,BARABAS,ACT I.,none,19,They say we are a scatter'd nation:
The Jew of Malta,BARABAS,ACT I.,none,20,I cannot tell; but we have scambled up
The Jew of Malta,BARABAS,ACT I.,none,21,More wealth by far than those that brag of faith:
The Jew of Malta,BARABAS,ACT I.,none,22,"There's Kirriah Jairim, the great Jew of Greece,"
The Jew of Malta,BARABAS,ACT I.,none,23,"Obed in Bairseth, Nones in Portugal,"
The Jew of Malta,BARABAS,ACT I.,none,24,"Myself in Malta, some in Italy,"
The Jew of Malta,BARABAS,ACT I.,none,25,"Many in France, and wealthy every one;"
The Jew of Malta,BARABAS,ACT I.,none,26,"Ay, wealthier far than any Christian."
The Jew of Malta,BARABAS,ACT I.,none,27,I must confess we come not to be kings:
The Jew of Malta,BARABAS,ACT I.,none,28,"That's not our fault:  alas, our number's few!"
The Jew of Malta,BARABAS,ACT I.,none,29,"And crowns come either by succession,"
The Jew of Malta,BARABAS,ACT I.,none,30,"Or urg'd by force; and nothing violent,"
The Jew of Malta,BARABAS,ACT I.,none,31,"Oft have I heard tell, can be permanent."
The Jew of Malta,BARABAS,ACT I.,none,32,"Give us a peaceful rule; make Christians kings,"
The Jew of Malta,BARABAS,ACT I.,none,33,That thirst so much for principality.
The Jew of Malta,BARABAS,ACT I.,none,34,"I have no charge, nor many children,"
The Jew of Malta,BARABAS,ACT I.,none,35,"But one sole daughter, whom I hold as dear"
The Jew of Malta,BARABAS,ACT I.,none,36,As Agamemnon did his Iphigen;
The Jew of Malta,BARABAS,ACT I.,none,37,And all I have is hers.?”But who comes here?
The Jew of Malta,FIRST JEW,ACT I.,none,1,"Tush, tell not me; 'twas done of policy."
The Jew of Malta,SECOND JEW,ACT I.,none,1,"Come, therefore, let us go to Barabas;"
The Jew of Malta,SECOND JEW,ACT I.,none,2,For he can counsel best in these affairs:
The Jew of Malta,SECOND JEW,ACT I.,none,3,And here he comes.
The Jew of Malta,BARABAS,ACT I.,none,1,"Why, how now, countrymen!"
The Jew of Malta,BARABAS,ACT I.,none,2,Why flock you thus to me in multitudes?
The Jew of Malta,BARABAS,ACT I.,none,3,What accident's betided to the Jews?
